gene,chr,start,end,splice_type,novel,mammary_epithelial_cell_ENCFF903XBV_in_cov,mammary_epithelial_cell_ENCFF903XBV_total_cov
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,80,622
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,37,200
ENSG00000280071.3,chr21,5119805,5121111,PAS,True,179,200
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,28,213
ENSG00000183421.11,chr21,41766859,41767106,TSS,True,44,136
ENSG00000159228.12,chr21,36069954,36070404,TSS,True,79,656
ENSG00000159200.17,chr21,34614759,34615247,TSS,True,62,116
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,60,116
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,152,609
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,97,356
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,263,347
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,62,366
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,56,147
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,25,165
ENSG00000159079.18,chr21,32603160,32603243,TSS,True,142,164
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,28,103
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,26,108
ENSG00000160256.12,chr21,44967181,44976679,ES,True,16,146
ENSG00000160256.12,chr21,44939937,44940186,TSS,True,94,148
ENSG00000160256.12,chr21,44967072,44967181,TSS,True,60,147
ENSG00000159267.14,chr21,36966443,36966724,TSS,True,133,149
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,32,197
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,36,201
ENSG00000155304.5,chr21,14383094,14383146,TSS,False,21,145
ENSG00000160310.17,chr21,46635763,46636895,ES,False,327,376
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,65,452
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,213,400
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,353,447
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,374,441
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,67,362
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,27,115
ENSG00000142192.20,chr21,25982477,26000014,ES,False,46,140
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,45,231
ENSG00000142192.20,chr21,26170563,26170820,TSS,True,482,639
ENSG00000159216.18,chr21,34886842,34888712,TSS,True,100,112
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,50,118
ENSG00000157557.11,chr21,38814780,38814981,TSS,True,97,117
ENSG00000182240.15,chr21,41167520,41168575,TSS,False,21,160
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,37,332
ENSG00000197381.15,chr21,45074166,45074793,TSS,True,98,132
ENSG00000154640.14,chr21,17598824,17604859,ES,False,207,236
ENSG00000154640.14,chr21,17612698,17612997,TSS,True,75,313
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,109,738
ENSG00000160194.17,chr21,42897047,42908863,ES,True,133,195
ENSG00000160285.14,chr21,46187298,46188821,PAS,True,81,100
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,63,100
ENSG00000115561.15,chr2,86563303,86563463,TSS,True,116,375
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,24,220
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,37,213
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,191,213
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,82,108
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,29,108
ENSG00000071054.16,chr2,101859082,101859735,3AS,False,44,109
ENSG00000071054.16,chr2,101859864,101864929,ES,False,89,112
ENSG00000071054.16,chr2,101865036,101866430,3AS,False,25,112
ENSG00000071054.16,chr2,101870415,101873646,ES,False,81,118
ENSG00000071054.16,chr2,101887237,101887777,5AS,False,105,127
ENSG00000071054.16,chr2,101697183,101698137,TSS,True,62,160
ENSG00000035115.21,chr2,219001,229965,ES,False,64,101
ENSG00000035115.21,chr2,263983,264695,TSS,True,49,109
ENSG00000035115.21,chr2,264541,264609,TSS,False,92,109
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,198,941
ENSG00000169599.12,chr2,69437360,69437655,TSS,True,12,118
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,62,181
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,159,181
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,35,347
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,63,178
ENSG00000115339.13,chr2,165794014,165794777,TSS,True,28,223
ENSG00000119787.13,chr2,38296113,38298143,IR,True,101,128
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,41,143
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,107,134
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,263,466
ENSG00000163219.11,chr2,68800044,68807275,3AS,True,16,140
ENSG00000163219.11,chr2,68799837,68800044,TSS,True,29,170
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,65,540
ENSG00000168918.13,chr2,233147412,233147594,TSS,True,99,116
ENSG00000168918.13,chr2,233139679,233139929,TSS,True,91,121
ENSG00000168918.13,chr2,233162985,233163903,TSS,True,81,115
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,31,286
ENSG00000158019.20,chr2,28338449,28339185,PAS,False,12,103
ENSG00000124356.15,chr2,73828996,73830844,5AS,False,93,165
ENSG00000124356.15,chr2,73828887,73828996,TSS,True,122,228
ENSG00000124356.15,chr2,73828957,73829070,TSS,True,157,228
ENSG00000124356.15,chr2,73828982,73829510,TSS,True,200,228
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,108,914
ENSG00000196504.16,chr2,152663967,152664137,3AS,True,168,226
ENSG00000196504.16,chr2,152677475,152679351,ES,False,44,245
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,189,248
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,39,265
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,232,260
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,89,267
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,208,267
ENSG00000074582.13,chr2,218661520,218661758,5AS,False,13,127
ENSG00000074582.13,chr2,218658762,218661307,TSS,True,134,154
ENSG00000074582.13,chr2,218659362,218659743,TSS,False,69,154
ENSG00000125611.15,chr2,112584442,112584649,TSS,True,17,165
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,65,417
ENSG00000196141.13,chr2,200419496,200440648,ES,False,186,336
ENSG00000196141.13,chr2,200306075,200306601,TSS,True,321,370
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,83,370
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,19,162
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,272,700
ENSG00000135926.14,chr2,218281939,218282184,TSS,True,513,700
ENSG00000138385.15,chr2,169798800,169798976,TSS,True,69,336
ENSG00000138385.15,chr2,169810956,169811044,TSS,True,286,334
ENSG00000115963.13,chr2,150487455,150487548,IR,False,182,435
ENSG00000115963.13,chr2,150468194,150470238,PAS,True,59,449
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,270,464
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,277,464
ENSG00000032389.12,chr2,3377647,3377973,TSS,True,38,169
ENSG00000115756.12,chr2,10396920,10419733,ES,False,394,455
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,36,112
ENSG00000132300.18,chr2,86106182,86106351,TSS,True,12,102
ENSG00000152102.17,chr2,131093213,131093482,TSS,True,50,112
ENSG00000065911.11,chr2,74198742,74205704,ES,True,523,621
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,158,1354
ENSG00000163171.7,chr2,37671425,37672623,TSS,True,34,165
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,101,206
ENSG00000124831.18,chr2,237749197,237749324,TSS,True,174,203
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,32,151
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,180,205
ENSG00000115204.14,chr2,27323051,27323110,TSS,True,46,175
ENSG00000115204.14,chr2,27322447,27322570,TSS,True,150,175
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,120,189
ENSG00000077232.17,chr2,182732542,182740298,ES,False,19,180
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,23,205
ENSG00000115694.14,chr2,241501708,241508442,ES,False,18,120
ENSG00000115694.14,chr2,241508135,241508504,5AS,False,65,169
ENSG00000115694.14,chr2,241508005,241508623,TSS,True,220,344
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,223,344
ENSG00000115694.14,chr2,241508504,241508636,TSS,True,279,344
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,108,679
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,109,145
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,116,145
ENSG00000198925.11,chr2,219229534,219229656,TSS,True,44,129
ENSG00000198925.11,chr2,219229009,219229368,TSS,True,105,129
ENSG00000115419.12,chr2,190880798,190881470,TSS,True,16,151
ENSG00000115419.12,chr2,190932715,190935568,PAS,True,59,143
ENSG00000115419.12,chr2,190962829,190965552,PAS,True,111,146
ENSG00000189223.14,chr2,113235570,113238089,ES,True,136,217
ENSG00000189223.14,chr2,113236613,113238089,5AS,True,85,150
ENSG00000189223.14,chr2,113238212,113239742,3AS,True,89,211
ENSG00000189223.14,chr2,113235505,113235570,TSS,True,160,395
ENSG00000189223.14,chr2,113235545,113236613,TSS,True,341,395
ENSG00000189223.14,chr2,113239088,113240827,PAS,True,211,333
ENSG00000189223.14,chr2,113239742,113240825,PAS,True,242,333
ENSG00000189223.14,chr2,113265475,113267010,PAS,True,277,363
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,515,669
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,449,669
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,508,669
ENSG00000115307.16,chr2,74528489,74529131,ES,True,55,355
ENSG00000115307.16,chr2,74528935,74529131,IR,False,302,365
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,62,479
ENSG00000119760.15,chr2,27661388,27662178,3AS,False,82,106
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,102,117
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,23,125
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,110,125
ENSG00000128699.13,chr2,189782602,189783013,IR,False,65,108
ENSG00000128699.13,chr2,189782602,189784268,ES,False,73,124
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,154,194
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,67,194
ENSG00000158552.12,chr2,219206773,219206845,TSS,True,56,107
ENSG00000158552.12,chr2,219206792,219207042,TSS,True,64,107
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,91,119
ENSG00000115652.14,chr2,106194147,106194391,TSS,True,16,135
ENSG00000173744.17,chr2,227552117,227553709,3AS,False,32,213
ENSG00000114993.16,chr2,74441705,74442421,TSS,True,99,546
ENSG00000115685.14,chr2,241150547,241157806,ES,False,22,171
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,20,192
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,96,190
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,99,190
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,328,1063
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,836,1063
ENSG00000176946.11,chr2,241636940,241637253,TSS,False,68,106
ENSG00000176946.11,chr2,241632916,241633875,TSS,False,45,106
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,84,700
ENSG00000119185.12,chr2,9406905,9408112,ES,False,40,329
ENSG00000119185.12,chr2,9418732,9422478,ES,False,80,115
ENSG00000119185.12,chr2,9423372,9423567,TSS,True,153,342
ENSG00000119185.12,chr2,9422478,9423275,TSS,True,225,342
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,133,288
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,165,288
ENSG00000158125.9,chr2,31334320,31336008,PAS,False,17,156
ENSG00000158125.9,chr2,31337640,31337981,TSS,True,116,153
ENSG00000158125.9,chr2,31383754,31384900,TSS,True,146,163
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,223,267
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,49,268
ENSG00000115364.13,chr2,75646774,75646910,TSS,True,48,182
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,28,114
ENSG00000138381.9,chr2,189670440,189671251,PAS,True,15,117
ENSG00000138381.9,chr2,189666040,189667236,PAS,True,100,115
ENSG00000163170.11,chr2,74135658,74145188,ES,False,95,436
ENSG00000144043.11,chr2,70994687,70994882,TSS,False,60,100
ENSG00000283196.2,chr2,89542856,89543836,PAS,False,77,106
ENSG00000283196.2,chr2,89562333,89562684,PAS,True,47,105
ENSG00000115221.11,chr2,160099665,160101834,PAS,True,61,295
ENSG00000115221.11,chr2,160200002,160200323,TSS,True,1605,1862
ENSG00000184182.18,chr2,237966878,237967132,TSS,True,146,285
ENSG00000184182.18,chr2,238030553,238030613,TSS,True,158,285
ENSG00000243147.7,chr2,27772692,27779432,ES,False,150,401
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,78,478
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,237,265
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,39,117
ENSG00000115947.13,chr2,148021447,148021615,TSS,True,99,117
ENSG00000155755.18,chr2,201642608,201642696,TSS,True,127,167
ENSG00000155755.18,chr2,201643358,201643558,TSS,True,51,167
ENSG00000136560.13,chr2,161160484,161179613,5AS,False,22,126
ENSG00000136560.13,chr2,161160298,161160486,TSS,True,31,135
ENSG00000136560.13,chr2,161160287,161160484,TSS,True,113,135
ENSG00000136560.13,chr2,161235341,161236211,PAS,True,20,135
ENSG00000136560.13,chr2,161204674,161207456,PAS,True,116,133
ENSG00000128641.18,chr2,191400468,191408114,ES,False,606,678
ENSG00000128641.18,chr2,191245240,191245626,TSS,True,120,735
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,312,554
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,255,554
ENSG00000115380.19,chr2,55922447,55923710,ES,False,433,613
ENSG00000115380.19,chr2,55923710,55923931,TSS,True,69,682
ENSG00000144034.14,chr2,73732285,73734428,ES,False,110,137
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,29,105
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,115,149
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,43,149
ENSG00000176407.17,chr2,84971090,84971467,TSS,False,23,192
ENSG00000035141.7,chr2,70300980,70301924,3AS,False,156,174
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,150,172
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,665,837
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,206,837
ENSG00000185414.19,chr2,99181078,99181249,TSS,True,37,111
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,130,554
ENSG00000132313.14,chr2,86210479,86213790,PAS,True,13,109
ENSG00000132313.14,chr2,86213627,86214989,PAS,False,103,115
ENSG00000115216.13,chr2,27428731,27433253,3AS,False,24,199
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,25,224
