gene,chr,start,end,splice_type,novel,neural_crest_cell_ENCFF319JFG_in_cov,neural_crest_cell_ENCFF319JFG_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,55,108
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,89,108
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,95,110
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,43,109
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,88,110
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,223,312
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,270,311
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,158,311
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,119,143
ENSG00000160310.17,chr21,46635763,46636895,ES,False,113,167
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,24,199
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,95,197
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,126,194
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,92,125
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,45,125
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,57,169
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,132,169
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,54,145
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,105,143
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,41,182
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,11,109
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,81,103
ENSG00000135930.13,chr2,232567077,232569210,PAS,True,90,102
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,35,103
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,220,1011
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,33,194
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,35,266
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,62,111
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,93,110
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,81,110
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,82,112
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,49,112
