gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos
ENSG00000277196.4,AC007325.2,-,6,4,13,146639,148468,23,0.5972304943418701
ENSG00000277196.4,AC007325.2,-,7,2,12,147698,150433,251,0.3982516715992547
ENSG00000182670.13,TTC3,+,18,4,25,37088880,37094020,445,0.2309911421200452
ENSG00000182670.13,TTC3,+,30,5,38,37090273,37095350,1014,0.1688582063711911
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.2598266666666666
ENSG00000182670.13,TTC3,+,26,8,37,37096617,37108392,830,0.2598266666666666
ENSG00000182670.13,TTC3,+,12,9,24,37096617,37108392,1399,0.3879274879566838
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,735,0.5320615541142057
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833
ENSG00000182670.13,TTC3,+,14,1,18,37108415,37121817,894,0.5320547875519833
ENSG00000182670.13,TTC3,+,4,16,23,37152008,37159702,1110,0.8928494088093898
ENSG00000182670.13,TTC3,+,9,17,29,37153255,37156660,1020,0.7241680407070545
ENSG00000182670.13,TTC3,+,16,16,35,37156903,37159702,509,0.6612441568340736
ENSG00000227456.7,LINC00310,+,0,0,3,34180760,34189439,5,0.4769572760789416
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16594379,31,0.8395410333536123
ENSG00000215386.12,MIR99AHG,+,1,3,7,16487489,16607087,28,0.7853718921783195
ENSG00000215386.12,MIR99AHG,+,2,3,8,16594379,16627490,30,0.8657585701887611
ENSG00000142168.14,SOD1,+,1,0,4,31659836,31667261,48,0.4297231179806516
ENSG00000157617.16,C2CD2,-,12,0,15,41942242,41953599,123,0.0880533736006853
ENSG00000236830.6,CBR3-AS1,-,0,0,3,36132621,36156244,35,0.4847430733553033
ENSG00000280071.3,GATD3B,-,1,1,5,5118835,5125882,357,0.5000415558510638
ENSG00000159256.12,MORC3,+,10,0,13,36320270,36333651,175,0.167683460432554
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849
ENSG00000159256.12,MORC3,+,12,0,15,36320270,36333651,191,0.1364660738214155
ENSG00000159256.12,MORC3,+,7,5,15,36344653,36356633,114,0.53932345223743
ENSG00000159256.12,MORC3,+,5,7,15,36345020,36359975,82,0.5721946463393015
ENSG00000184012.11,TMPRSS2,-,0,2,5,41466149,41470666,124,0.568687772681508
ENSG00000184012.11,TMPRSS2,-,7,2,12,41479271,41489524,121,0.4100654177817425
ENSG00000205670.10,SMIM11A,+,1,2,6,34379467,34399806,28,0.5175332305206727
