gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF925PCV_in_cov,endodermal_cell_ENCFF925PCV_total_cov
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,35,102
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,16,108
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,45,130
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,94,134
ENSG00000236384.7,chr21,41711460,41712044,PAS,True,79,100
ENSG00000236384.7,chr21,41711460,41712373,PAS,False,74,100
ENSG00000236384.7,chr21,41714233,41715654,TSS,True,53,125
ENSG00000159079.18,chr21,32612104,32612851,TSS,True,35,290
ENSG00000160200.17,chr21,43053647,43053861,IR,False,26,104
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,130,163
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,33,111
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,103,163
ENSG00000160200.17,chr21,43062310,43062396,TSS,True,139,161
ENSG00000160310.17,chr21,46635763,46636895,ES,False,185,220
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,57,281
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,140,251
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,232,281
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,219,267
ENSG00000160310.17,chr21,46660832,46661277,PAS,True,233,277
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,160,1554
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,96,671
ENSG00000160213.7,chr21,43774657,43774696,TSS,True,584,671
ENSG00000142192.20,chr21,25891721,25891845,TSS,True,126,145
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,90,381
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,309,381
ENSG00000160201.11,chr21,43095743,43104314,ME,False,325,715
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,216,964
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,126,146
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,62,161
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,116,160
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,69,101
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,89,139
ENSG00000274276.4,chr21,6453988,6454074,TSS,True,117,138
ENSG00000154723.12,chr21,25729801,25734988,5AS,False,87,106
ENSG00000154723.12,chr21,25734988,25735653,TSS,True,673,761
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,134,761
ENSG00000160194.17,chr21,42897047,42908863,ES,True,80,112
ENSG00000275895.6,chr21,6487412,6495992,ME,False,216,504
ENSG00000275895.6,chr21,6499128,6499258,TSS,True,217,747
ENSG00000205581.10,chr21,39345274,39348291,ES,False,315,405
ENSG00000205581.10,chr21,39348544,39349151,TSS,True,163,534
ENSG00000185808.13,chr21,37072999,37073126,TSS,False,22,104
ENSG00000184900.15,chr21,44817947,44818072,TSS,True,28,160
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,62,463
ENSG00000115053.15,chr2,231464335,231464536,TSS,True,795,1006
ENSG00000115053.15,chr2,231461539,231462017,TSS,True,792,1002
ENSG00000115053.15,chr2,231455400,231455458,TSS,True,482,965
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,111,763
ENSG00000124839.12,chr2,237577382,237585997,ES,False,177,847
ENSG00000124839.12,chr2,237577382,237586063,ES,True,29,113
ENSG00000124839.12,chr2,237578155,237586063,5AS,False,84,820
ENSG00000124839.12,chr2,237590466,237591105,TSS,True,385,1477
ENSG00000115233.11,chr2,161308407,161308604,TSS,False,331,782
ENSG00000115233.11,chr2,161371180,161371322,TSS,True,469,777
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,91,182
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,119,182
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,13,105
ENSG00000119787.13,chr2,38377142,38377290,TSS,True,20,105
ENSG00000144029.11,chr2,95101723,95106422,ES,False,33,125
ENSG00000144029.11,chr2,95106457,95108253,5AS,True,18,126
ENSG00000144029.11,chr2,95121733,95122014,TSS,True,24,139
ENSG00000144029.11,chr2,95108174,95108398,TSS,True,116,132
ENSG00000084754.11,chr2,26189832,26191395,PAS,True,18,157
ENSG00000084754.11,chr2,26214505,26214561,PAS,True,105,121
ENSG00000084754.11,chr2,26244529,26244838,TSS,True,65,160
ENSG00000115241.10,chr2,27383365,27383909,TSS,True,32,135
ENSG00000138430.15,chr2,174248451,174248656,TSS,True,340,965
ENSG00000138430.15,chr2,174229307,174229923,TSS,True,647,965
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,123,170
ENSG00000196504.16,chr2,152651731,152656398,PAS,True,160,195
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,61,175
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,117,216
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,169,216
ENSG00000079246.15,chr2,216109284,216109457,TSS,True,169,620
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,58,524
ENSG00000183513.8,chr2,98608306,98608514,TSS,True,33,235
ENSG00000135624.15,chr2,73233527,73234384,TSS,True,285,1898
ENSG00000162961.13,chr2,32039732,32039822,TSS,True,213,580
ENSG00000162961.13,chr2,32039420,32039805,TSS,True,465,580
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,37,109
ENSG00000168906.12,chr2,85539115,85539378,TSS,True,43,107
ENSG00000065911.11,chr2,74198742,74205704,ES,True,88,100
ENSG00000065911.11,chr2,74198742,74207703,ES,False,33,133
ENSG00000065911.11,chr2,74198545,74198742,TSS,True,41,179
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,85,433
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,294,2748
ENSG00000115204.14,chr2,27312772,27322447,ES,True,20,196
ENSG00000115204.14,chr2,27313074,27322447,3AS,False,18,174
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,247,277
ENSG00000127837.9,chr2,218269965,218270175,TSS,True,147,425
ENSG00000127837.9,chr2,218266442,218266590,TSS,True,363,420
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,526,898
ENSG00000168385.17,chr2,241350129,241350203,TSS,False,485,889
ENSG00000115307.16,chr2,74527059,74527247,3AS,False,144,164
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,18,171
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,97,114
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,24,121
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,104,121
ENSG00000128699.13,chr2,189783878,189784039,TSS,True,232,268
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,70,268
ENSG00000076003.4,chr2,135876258,135876479,TSS,False,304,354
ENSG00000076003.4,chr2,135846236,135846393,TSS,True,173,350
ENSG00000076003.4,chr2,135848052,135848073,TSS,True,256,350
ENSG00000124357.12,chr2,71068297,71068712,TSS,True,36,201
ENSG00000115685.14,chr2,241149563,241150547,TSS,True,76,284
ENSG00000115685.14,chr2,241153474,241153604,TSS,True,245,284
ENSG00000115685.14,chr2,241182646,241183651,PAS,True,80,282
ENSG00000115685.14,chr2,241167044,241167178,PAS,True,212,282
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,623,4516
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,3968,4516
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,196,222
ENSG00000115392.11,chr2,58241217,58241406,TSS,True,49,245
ENSG00000115392.11,chr2,58226727,58229070,TSS,True,210,242
ENSG00000144354.13,chr2,173358837,173363225,ES,False,77,115
ENSG00000144354.13,chr2,173354819,173354984,TSS,True,68,183
ENSG00000144354.13,chr2,173367148,173367286,TSS,True,136,155
ENSG00000144354.13,chr2,173360340,173363462,TSS,True,153,183
ENSG00000144354.13,chr2,173367633,173368997,PAS,True,28,172
ENSG00000144354.13,chr2,173363817,173364685,PAS,True,132,147
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,55,299
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,251,298
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,255,327
ENSG00000055044.10,chr2,202303385,202304103,PAS,True,168,329
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,251,325
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,26,170
ENSG00000128708.12,chr2,171922421,171922507,TSS,True,145,279
ENSG00000128708.12,chr2,171925535,171925641,TSS,True,141,279
ENSG00000115484.14,chr2,61888380,61888668,TSS,True,37,333
ENSG00000243147.7,chr2,27772692,27779432,ES,False,104,195
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,53,240
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,144,161
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,24,179
ENSG00000198522.13,chr2,27628657,27629169,TSS,True,102,275
ENSG00000198522.13,chr2,27640041,27640125,TSS,True,235,275
ENSG00000198522.13,chr2,27642430,27642519,TSS,True,222,275
ENSG00000095002.14,chr2,47403052,47403402,TSS,True,79,175
ENSG00000095002.14,chr2,47410111,47410372,TSS,True,137,174
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,60,163
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,104,147
ENSG00000188010.13,chr2,38875959,38876110,TSS,True,32,119
ENSG00000188010.13,chr2,38879831,38880229,TSS,True,91,119
ENSG00000119782.13,chr2,24053949,24060813,ES,False,97,110
ENSG00000119782.13,chr2,24060926,24063063,3AS,False,65,111
ENSG00000119782.13,chr2,24063063,24063681,PAS,True,46,111
ENSG00000119782.13,chr2,24063018,24063681,PAS,True,65,111
ENSG00000178568.14,chr2,211591902,211592007,TSS,True,31,127
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,37,316
ENSG00000197223.11,chr2,68047319,68062957,ES,True,98,115
ENSG00000197223.11,chr2,68047319,68062957,5AS,False,98,145
ENSG00000197223.11,chr2,68062957,68063007,TSS,True,52,170
ENSG00000197223.11,chr2,68062944,68063010,TSS,True,121,170
ENSG00000115661.13,chr2,219245488,219245796,TSS,True,104,119
ENSG00000115661.13,chr2,219245469,219245522,TSS,True,60,119
ENSG00000144034.14,chr2,73732285,73734428,ES,False,127,161
ENSG00000144034.14,chr2,73734588,73737301,3AS,False,36,138
ENSG00000144034.14,chr2,73734428,73734592,TSS,True,143,172
ENSG00000144034.14,chr2,73737301,73737526,TSS,True,34,172
ENSG00000114942.13,chr2,206159684,206159958,3AS,False,198,263
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,787,1050
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,345,1050
ENSG00000144476.5,chr2,236569662,236569924,TSS,False,97,304
ENSG00000144476.5,chr2,236567752,236567841,TSS,False,232,316
ENSG00000185414.19,chr2,99197153,99197622,PAS,True,77,105
ENSG00000153574.8,chr2,88691643,88691983,TSS,False,70,179
ENSG00000115216.13,chr2,27428318,27428731,TSS,True,54,407
ENSG00000151665.12,chr2,46581591,46592474,ES,False,92,108
ENSG00000115539.13,chr2,100562916,100563073,TSS,False,83,265
ENSG00000115539.13,chr2,100566505,100566629,TSS,True,191,265
ENSG00000158417.10,chr2,99337370,99337589,TSS,True,52,426
ENSG00000158417.10,chr2,99363644,99363863,PAS,True,281,390
ENSG00000158417.10,chr2,99361147,99361820,PAS,True,311,374
ENSG00000158417.10,chr2,99364270,99364327,PAS,True,233,390
ENSG00000168397.16,chr2,241636744,241637724,TSS,True,28,117
ENSG00000168397.16,chr2,241672190,241673857,PAS,True,11,109
ENSG00000144524.17,chr2,231786416,231786538,TSS,True,27,105
ENSG00000170144.20,chr2,177212805,177215538,5AS,False,75,182
ENSG00000170144.20,chr2,177212563,177212871,TSS,True,275,382
ENSG00000170144.20,chr2,177212742,177212805,TSS,True,307,382
ENSG00000170144.20,chr2,177216857,177216940,TSS,True,304,366
ENSG00000170144.20,chr2,177217743,177217845,TSS,True,312,365
ENSG00000170144.20,chr2,177219407,177223853,PAS,True,42,359
