gene,chr,start,end,splice_type,novel,endodermal_cell_ENCFF936VUF_in_cov,endodermal_cell_ENCFF936VUF_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,56,140
ENSG00000182670.13,chr21,37073364,37108391,ES,False,166,222
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,166,321
ENSG00000182670.13,chr21,37073473,37108391,ES,False,66,137
ENSG00000182670.13,chr21,37156906,37159698,ES,False,161,198
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,188,415
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,273,415
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,300,400
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,355,406
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,300,398
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,348,398
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,304,800
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,556,800
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,113,153
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,46,159
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,119,159
ENSG00000236384.7,chr21,41712044,41712815,3AS,True,77,161
ENSG00000236384.7,chr21,41712044,41712815,IR,True,77,117
ENSG00000236384.7,chr21,41713000,41714019,ES,True,41,150
ENSG00000236384.7,chr21,41713672,41714019,3AS,True,15,105
ENSG00000236384.7,chr21,41713936,41714019,IR,True,97,164
ENSG00000236384.7,chr21,41711460,41712044,PAS,True,138,221
ENSG00000236384.7,chr21,41711460,41713000,PAS,True,197,221
ENSG00000236384.7,chr21,41711460,41712047,PAS,True,196,221
ENSG00000236384.7,chr21,41711460,41712373,PAS,False,169,221
ENSG00000159267.14,chr21,36938994,36962035,ES,False,77,104
ENSG00000159267.14,chr21,36990157,36990446,TSS,True,73,135
ENSG00000159267.14,chr21,36966443,36966724,TSS,True,97,135
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,74,149
ENSG00000160190.13,chr21,42513924,42518276,ES,True,118,218
ENSG00000160190.13,chr21,42514717,42518276,ES,True,179,202
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,183,404
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,289,404
ENSG00000160190.13,chr21,42514813,42514935,TSS,True,359,404
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,32,194
ENSG00000160310.17,chr21,46635763,46636895,ES,False,435,626
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,186,670
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,551,664
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,35,209
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,45,150
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,133,150
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,138,177
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,59,177
ENSG00000142192.20,chr21,25982477,26000014,ES,False,93,192
ENSG00000142192.20,chr21,25880549,25881771,PAS,True,57,237
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,34,185
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,161,185
ENSG00000185917.13,chr21,36057204,36058815,ES,False,86,107
ENSG00000185917.13,chr21,36034364,36036251,PAS,True,68,112
ENSG00000185917.13,chr21,36034532,36035960,PAS,True,81,112
ENSG00000185917.13,chr21,36042410,36043956,PAS,True,84,111
ENSG00000185917.13,chr21,36060346,36060903,TSS,True,19,115
ENSG00000198743.6,chr21,34073512,34073745,TSS,False,12,107
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,62,117
ENSG00000160299.16,chr21,46324635,46325210,TSS,False,68,117
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,94,105
ENSG00000160299.16,chr21,46353103,46353328,PAS,True,85,105
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,77,105
ENSG00000160299.16,chr21,46356973,46357133,PAS,True,90,106
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,45,233
ENSG00000274276.4,chr21,6445325,6445539,IR,False,233,1559
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,319,1640
ENSG00000274276.4,chr21,6442516,6445325,PAS,True,1370,1640
ENSG00000142188.16,chr21,33455784,33460412,ES,False,116,131
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,72,140
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,68,137
ENSG00000243927.5,chr21,34073745,34125340,ES,False,404,454
ENSG00000205581.10,chr21,39345274,39345829,IR,False,111,129
ENSG00000205581.10,chr21,39345958,39347378,IR,False,16,104
ENSG00000205581.10,chr21,39347483,39348291,IR,False,34,109
ENSG00000156304.14,chr21,31666727,31672354,PAS,True,19,102
ENSG00000156304.14,chr21,31731662,31732165,TSS,True,15,102
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,36,297
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,162,357
ENSG00000160285.14,chr21,46228433,46228816,TSS,True,256,357
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,83,188
ENSG00000185658.13,chr21,39296425,39298582,PAS,True,133,185
ENSG00000135930.13,chr2,232567214,232580903,ES,False,117,149
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,168,235
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,87,235
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,46,103
ENSG00000124839.12,chr2,237575508,237577256,IR,True,96,154
ENSG00000124839.12,chr2,237577382,237586063,ES,True,11,102
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,27,103
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,115,164
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,70,164
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,145,163
ENSG00000115339.13,chr2,165747590,165748903,PAS,True,11,101
ENSG00000119787.13,chr2,38296113,38298143,IR,True,367,419
ENSG00000119787.13,chr2,38293945,38296113,PAS,True,64,432
ENSG00000119787.13,chr2,38293948,38298575,PAS,True,379,429
ENSG00000144040.12,chr2,73071603,73072187,TSS,True,18,104
ENSG00000197329.11,chr2,64104830,64108239,ES,True,354,397
ENSG00000197329.11,chr2,64104830,64108239,3AS,True,354,403
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,176,1187
ENSG00000084693.15,chr2,27051642,27051793,TSS,True,34,147
ENSG00000084693.15,chr2,27055090,27055253,TSS,True,124,147
ENSG00000084693.15,chr2,27059189,27059535,PAS,True,44,146
ENSG00000084693.15,chr2,27070091,27070622,PAS,True,116,147
ENSG00000204120.14,chr2,232697392,232703423,ES,False,144,243
ENSG00000204120.14,chr2,232697392,232735154,ME,False,12,109
ENSG00000204120.14,chr2,232697392,232735154,ME,False,12,109
ENSG00000204120.14,chr2,232697392,232735154,ME,False,12,109
ENSG00000204120.14,chr2,232697392,232735154,ES,False,29,288
ENSG00000204120.14,chr2,232703489,232735154,ES,False,158,251
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,223,303
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,225,304
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,252,303
ENSG00000158019.20,chr2,28298491,28338449,ES,True,123,155
