gene,chr,start,end,splice_type,novel,aorta_ENCFF745HHL_in_cov,aorta_ENCFF745HHL_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,68,161
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,122,161
ENSG00000182670.13,chr21,37140560,37142975,PAS,True,122,139
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,67,140
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,123,140
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,35,254
ENSG00000142156.14,chr21,46002192,46002401,TSS,True,221,276
ENSG00000142156.14,chr21,46002285,46002710,TSS,True,243,276
ENSG00000157554.18,chr21,38392444,38402556,ES,False,41,102
ENSG00000157554.18,chr21,38392444,38403505,ES,True,30,149
ENSG00000157554.18,chr21,38380029,38383923,PAS,True,30,182
ENSG00000157554.18,chr21,38660521,38661085,TSS,False,94,202
ENSG00000157554.18,chr21,38498362,38498495,TSS,True,172,197
ENSG00000157554.18,chr21,38661657,38662044,TSS,True,181,202
ENSG00000159200.17,chr21,34526662,34526958,TSS,True,44,118
ENSG00000141959.16,chr21,44306754,44311005,ES,True,575,689
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,262,955
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,808,955
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,93,134
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,73,128
ENSG00000159131.16,chr21,33529472,33532456,PAS,True,102,121
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,35,134
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,46,189
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,58,101
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,55,113
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,70,113
ENSG00000156265.15,chr21,29130554,29130923,TSS,True,57,381
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,76,533
ENSG00000160310.17,chr21,46635763,46636895,ES,False,473,995
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,482,1087
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,711,1069
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,418,502
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,342,502
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,18,102
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,90,102
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,34,113
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,14,110
ENSG00000166979.12,chr21,32413013,32457596,ES,False,11,104
ENSG00000166979.12,chr21,32413013,32467695,ES,False,34,148
ENSG00000166979.12,chr21,32501486,32503925,5AS,False,20,165
ENSG00000166979.12,chr21,32411691,32413013,TSS,True,25,172
ENSG00000154734.14,chr21,26835758,26838278,PAS,True,189,1641
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,668,1751
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,1310,1689
ENSG00000205758.11,chr21,33591207,33595730,3AS,False,131,153
