gene,chr,start,end,splice_type,novel,K562_ENCFF661OEY_in_cov,K562_ENCFF661OEY_total_cov
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,140,238
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,185,238
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,142,187
ENSG00000182670.13,chr21,37182773,37182916,PAS,True,157,187
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,131,177
ENSG00000182670.13,chr21,37097914,37100345,PAS,False,152,169
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,127,745
ENSG00000280071.3,chr21,5116328,5117231,PAS,True,38,208
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,80,215
ENSG00000280071.3,chr21,5125878,5125968,TSS,True,180,215
ENSG00000243646.9,chr21,33266358,33266514,TSS,True,94,132
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,276,882
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,747,874
ENSG00000198862.13,chr21,28927502,28930510,PAS,False,50,111
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,77,106
ENSG00000198862.13,chr21,28992763,28992903,TSS,True,35,115
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,1144,2325
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,1231,2260
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,452,2327
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,488,809
ENSG00000184787.18,chr21,44773546,44774808,TSS,True,652,788
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,180,819
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,21,142
ENSG00000157538.13,chr21,37267237,37268118,TSS,True,60,175
ENSG00000160200.17,chr21,43053647,43053883,5AS,True,15,114
ENSG00000160200.17,chr21,43053185,43053647,PAS,False,814,933
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,166,869
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,376,933
ENSG00000159140.19,chr21,33575893,33576417,3AS,False,72,135
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,303,547
ENSG00000159140.19,chr21,33549642,33555391,TSS,True,34,190
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,480,543
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,471,543
ENSG00000160214.12,chr21,43789143,43789762,TSS,True,93,632
ENSG00000160294.10,chr21,46233046,46235426,PAS,True,67,391
ENSG00000160294.10,chr21,46265320,46265524,TSS,True,275,390
ENSG00000160294.10,chr21,46265924,46268792,TSS,True,294,390
ENSG00000160310.17,chr21,46635763,46636895,ES,False,200,268
ENSG00000160310.17,chr21,46649739,46663382,ES,False,22,129
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,134,422
ENSG00000160310.17,chr21,46649574,46650529,PAS,True,261,307
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,272,420
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,341,405
ENSG00000160209.18,chr21,43719070,43719381,TSS,True,303,533
ENSG00000159086.14,chr21,32751218,32755229,5AS,False,142,166
ENSG00000159086.14,chr21,32733823,32735067,PAS,True,60,196
ENSG00000159086.14,chr21,32741338,32741622,PAS,True,155,189
ENSG00000159086.14,chr21,32771325,32771990,TSS,True,37,198
ENSG00000156261.12,chr21,29073530,29073726,TSS,True,317,2264
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,120,142
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,116,137
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,115,137
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,16,138
ENSG00000173638.18,chr21,45512550,45516140,PAS,True,52,386
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,537,610
ENSG00000173638.18,chr21,45531388,45532150,TSS,False,497,610
ENSG00000173638.18,chr21,45537770,45538012,TSS,True,519,610
ENSG00000160193.11,chr21,42843018,42843281,PAS,False,180,451
ENSG00000160193.11,chr21,42843432,42850242,PAS,True,266,411
ENSG00000160193.11,chr21,42879406,42879579,TSS,False,97,451
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,45,169
ENSG00000159128.14,chr21,33403372,33403616,TSS,True,16,153
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,87,129
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,70,129
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,77,143
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,76,143
ENSG00000160201.11,chr21,43095743,43104314,ME,False,53,286
ENSG00000160201.11,chr21,43107450,43107662,TSS,True,98,402
ENSG00000241945.7,chr21,44107234,44107434,TSS,True,178,385
ENSG00000241945.7,chr21,44121012,44121102,TSS,True,346,385
ENSG00000160216.18,chr21,43865118,43865345,TSS,False,154,205
ENSG00000156273.15,chr21,29298773,29298953,TSS,False,93,146
ENSG00000156273.15,chr21,29326313,29327393,TSS,True,108,143
ENSG00000156273.15,chr21,29321216,29321514,TSS,True,130,145
ENSG00000156273.15,chr21,29342398,29346151,PAS,False,19,122
ENSG00000279669.1,chr21,5232924,5243702,ES,True,94,118
ENSG00000279669.1,chr21,5232668,5232924,PAS,False,32,152
ENSG00000279669.1,chr21,5243702,5243837,TSS,False,141,265
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,200,407
ENSG00000183255.11,chr21,44856192,44857512,TSS,True,359,407
ENSG00000142207.6,chr21,32346955,32347734,TSS,True,212,408
ENSG00000142207.6,chr21,32322477,32322960,TSS,True,356,401
ENSG00000160221.17,chr21,44136085,44136173,TSS,True,145,167
ENSG00000160221.17,chr21,44133609,44133838,TSS,True,49,167
ENSG00000160221.17,chr21,44144820,44145712,PAS,True,43,167
ENSG00000274276.4,chr21,6450903,6452220,TSS,True,118,134
ENSG00000274276.4,chr21,6452118,6452225,TSS,True,111,134
ENSG00000274276.4,chr21,6449822,6452165,TSS,True,120,134
ENSG00000183527.11,chr21,39178647,39180284,ES,False,53,382
