gene,chr,start,end,splice_type,novel,HL-60_ENCFF810FRP_in_cov,HL-60_ENCFF810FRP_total_cov
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,112,156
ENSG00000182670.13,chr21,37073364,37108391,ES,False,193,304
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,193,255
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,87,394
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,331,394
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,220,385
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,292,384
ENSG00000159055.3,chr21,32269117,32269706,IR,True,135,153
ENSG00000159055.3,chr21,32268222,32269117,PAS,False,20,155
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,498,1369
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,1007,1357
ENSG00000159079.18,chr21,32601973,32602271,IR,False,150,188
ENSG00000159079.18,chr21,32602367,32603160,IR,False,152,189
ENSG00000159079.18,chr21,32600132,32601973,PAS,True,42,194
ENSG00000159079.18,chr21,32601666,32603292,PAS,True,161,194
ENSG00000157538.13,chr21,37223416,37225626,PAS,True,26,159
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,80,136
ENSG00000159140.19,chr21,33576364,33577518,PAS,True,95,136
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,116,136
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,17,109
ENSG00000160310.17,chr21,46635763,46636895,ES,False,346,453
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,233,487
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,314,484
ENSG00000142166.12,chr21,33324380,33324638,TSS,False,99,113
ENSG00000142166.12,chr21,33324903,33325131,TSS,True,16,113
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,22,112
ENSG00000173638.18,chr21,45515152,45525816,3AS,False,188,343
ENSG00000173638.18,chr21,45532148,45537770,5AS,True,324,379
ENSG00000173638.18,chr21,45512550,45516140,PAS,True,259,414
ENSG00000173638.18,chr21,45512549,45515152,PAS,True,239,427
ENSG00000173638.18,chr21,45502380,45502969,PAS,False,370,427
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,151,427
ENSG00000173638.18,chr21,45541786,45541857,TSS,False,363,427
ENSG00000160305.17,chr21,46458077,46459222,TSS,True,17,104
ENSG00000160305.17,chr21,46567369,46570021,PAS,True,91,103
ENSG00000142192.20,chr21,25982477,26000014,ES,False,407,539
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,201,297
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,108,297
ENSG00000160201.11,chr21,43092955,43093249,PAS,True,19,114
ENSG00000205758.11,chr21,33595836,33599149,ES,False,20,167
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,141,170
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,78,177
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,107,175
ENSG00000142188.16,chr21,33432484,33432802,PAS,True,114,137
ENSG00000142188.16,chr21,33449036,33450863,PAS,True,23,135
ENSG00000243927.5,chr21,34073745,34125340,ES,False,84,129
ENSG00000159110.19,chr21,33230216,33241885,3AS,False,86,105
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,29,111
ENSG00000159110.19,chr21,33252661,33252949,PAS,True,98,111
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,27,237
ENSG00000160285.14,chr21,46221975,46222662,5AS,False,16,155
ENSG00000160285.14,chr21,46187298,46188821,PAS,True,148,182
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,41,176
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,45,182
ENSG00000185658.13,chr21,39236605,39236784,PAS,True,74,149
