gene,chr,start,end,splice_type,novel,heart_right_ventricle_ENCFF018PZX_in_cov,heart_right_ventricle_ENCFF018PZX_total_cov
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,42,310
ENSG00000141959.16,chr21,44306754,44311005,ES,True,140,206
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,76,284
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,234,284
ENSG00000241837.6,chr21,33915727,33915844,TSS,True,73,608
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,18,107
ENSG00000160310.17,chr21,46635763,46636895,ES,False,23,124
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,25,157
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,87,154
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,96,145
ENSG00000182871.14,chr21,45405114,45405241,TSS,False,110,136
ENSG00000182871.14,chr21,45485727,45486992,TSS,True,116,133
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,113,132
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,18,136
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,55,295
ENSG00000154723.12,chr21,25725225,25725297,TSS,True,582,670
ENSG00000154723.12,chr21,25734852,25734925,TSS,True,127,671
ENSG00000142173.14,chr21,46097844,46098173,TSS,True,300,508
ENSG00000142173.14,chr21,46111980,46112577,TSS,False,424,507
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,142,508
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,372,444
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,131,153
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,111,153
ENSG00000160285.14,chr21,46219475,46219548,TSS,True,137,153
ENSG00000138032.20,chr2,44232315,44234074,PAS,True,51,106
ENSG00000138032.20,chr2,44230412,44231473,PAS,False,55,106
ENSG00000082898.16,chr2,61537561,61538723,TSS,True,16,115
ENSG00000187514.16,chr2,231711419,231711889,3AS,False,120,138
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,36,166
ENSG00000153561.12,chr2,86720018,86720809,TSS,False,18,100
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,28,157
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,17,106
ENSG00000138413.13,chr2,208254342,208254454,TSS,False,94,106
ENSG00000013016.15,chr2,31233960,31234848,TSS,False,35,113
ENSG00000013016.15,chr2,31260710,31260922,TSS,True,97,113
ENSG00000075886.10,chr2,131479291,131479456,TSS,True,38,204
ENSG00000075886.10,chr2,131480121,131480749,TSS,True,179,203
ENSG00000204843.12,chr2,74371728,74377431,ES,False,33,237
ENSG00000204843.12,chr2,74391793,74392075,TSS,False,82,293
ENSG00000115241.10,chr2,27409302,27409674,TSS,True,14,128
ENSG00000138073.13,chr2,27134286,27134676,TSS,True,14,100
ENSG00000124006.14,chr2,219550842,219551528,3AS,False,105,166
ENSG00000124006.14,chr2,219556723,219557822,ES,False,76,136
ENSG00000124006.14,chr2,219561708,219562008,PAS,True,91,236
ENSG00000124006.14,chr2,219550718,219550842,PAS,True,225,330
ENSG00000124006.14,chr2,219550720,219551285,PAS,True,280,328
ENSG00000124006.14,chr2,219558183,219559261,TSS,True,161,182
ENSG00000124006.14,chr2,219570220,219571824,TSS,True,193,330
ENSG00000124006.14,chr2,219567717,219567968,TSS,True,283,330
ENSG00000183023.18,chr2,40139400,40139676,TSS,True,95,113
ENSG00000079246.15,chr2,216127535,216127599,PAS,True,114,131
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,18,135
ENSG00000138029.13,chr2,26244115,26244990,TSS,False,229,2062
ENSG00000196141.13,chr2,200306553,200306922,TSS,True,33,129
ENSG00000196141.13,chr2,200477635,200478659,PAS,True,43,123
ENSG00000196141.13,chr2,200416378,200416428,PAS,True,80,111
ENSG00000135926.14,chr2,218292465,218292597,TSS,True,66,135
ENSG00000135926.14,chr2,218287206,218287282,TSS,True,120,135
ENSG00000068697.6,chr2,20051409,20051682,TSS,False,89,405
ENSG00000124831.18,chr2,237708630,237748363,ES,False,31,109
ENSG00000124831.18,chr2,237749324,237753308,ES,False,33,119
ENSG00000124831.18,chr2,237756187,237760063,ES,False,30,101
ENSG00000124831.18,chr2,237627552,237627740,TSS,True,48,129
ENSG00000124831.18,chr2,237692102,237692521,TSS,True,97,128
ENSG00000124831.18,chr2,237762602,237765915,PAS,True,99,126
ENSG00000124831.18,chr2,237753308,237755960,PAS,True,106,124
ENSG00000124831.18,chr2,237779421,237781653,PAS,True,54,126
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,122,136
ENSG00000114923.16,chr2,219629421,219630152,ES,True,19,163
ENSG00000114923.16,chr2,219631039,219631455,TSS,False,623,989
ENSG00000115694.14,chr2,241499414,241500172,IR,False,149,166
ENSG00000115694.14,chr2,241498988,241499128,TSS,True,187,212
ENSG00000115694.14,chr2,241508442,241508635,TSS,True,80,213
ENSG00000168385.17,chr2,241315982,241324215,ES,False,243,272
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,64,348
ENSG00000115677.16,chr2,241315101,241315254,TSS,True,215,564
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,491,564
ENSG00000115307.16,chr2,74528935,74529131,IR,False,89,106
ENSG00000115307.16,chr2,74529579,74530268,TSS,True,31,139
ENSG00000071082.10,chr2,101002260,101002315,TSS,True,60,207
ENSG00000071082.10,chr2,101002291,101002808,TSS,True,183,207
ENSG00000071082.10,chr2,101005956,101006071,TSS,True,176,207
ENSG00000132329.10,chr2,237859296,237859727,TSS,True,69,218
ENSG00000152082.13,chr2,130181696,130182452,TSS,True,69,303
ENSG00000169764.15,chr2,63840947,63841232,TSS,True,102,309
ENSG00000169764.15,chr2,63841330,63842204,TSS,True,223,308
ENSG00000061676.14,chr2,183003319,183023805,3AS,True,120,183
ENSG00000136720.6,chr2,128318036,128318867,TSS,True,84,111
ENSG00000115896.15,chr2,197804585,197805341,TSS,True,36,149
ENSG00000243147.7,chr2,27772692,27779432,ES,False,170,214
ENSG00000243147.7,chr2,27771655,27771799,TSS,True,150,361
ENSG00000243147.7,chr2,27771720,27771803,TSS,True,319,361
ENSG00000116005.11,chr2,70258092,70258276,TSS,True,40,193
ENSG00000114942.13,chr2,206159580,206159684,TSS,True,94,110
ENSG00000114942.13,chr2,206159602,206160059,TSS,True,20,110
ENSG00000063660.8,chr2,240435349,240436084,TSS,False,127,423
ENSG00000118246.13,chr2,206765654,206766643,5AS,False,63,122
ENSG00000118246.13,chr2,206765371,206765654,TSS,True,64,127
ENSG00000118246.13,chr2,206765382,206765747,TSS,True,71,127
ENSG00000144021.2,chr2,96266215,96266489,TSS,True,21,204
ENSG00000143933.16,chr2,47176440,47176516,TSS,False,48,380
ENSG00000091436.16,chr2,173075526,173076002,TSS,True,186,535
ENSG00000091436.16,chr2,173090477,173090830,TSS,False,462,535
ENSG00000213626.12,chr2,30231529,30231764,TSS,True,46,151
ENSG00000115524.15,chr2,197389783,197392461,PAS,True,28,190
ENSG00000115524.15,chr2,197405095,197405177,PAS,True,156,182
