gene_id,gene_name,strand,n_ex_d,n_ex_u,n_ex,start,end,trid,norm_pos,coverage
ENSG00000182670.13,TTC3,+,16,16,35,37156903,37159702,509,0.6612441568340736,0
ENSG00000215386.12,MIR99AHG,+,0,4,7,16537378,16607087,40,0.915400704802253,1
ENSG00000280071.3,GATD3B,-,1,0,4,5124874,5128217,117,0.23688630490956075,0
ENSG00000159256.12,MORC3,+,15,0,18,36320270,36333651,85,0.1195763913505849,0
ENSG00000159256.12,MORC3,+,12,0,15,36320270,36333651,191,0.1364660738214155,0
ENSG00000205670.10,SMIM11A,+,1,2,6,34379467,34399806,28,0.5175332305206727,1
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000274333.4,CU633967.1,+,2,0,5,5553740,5585897,91,0.42341551602169414,0
ENSG00000157554.18,ERG,-,3,4,10,38392411,38403537,127,0.9459421500698636,0
ENSG00000141959.16,PFKL,+,15,0,18,44300189,44312107,889,0.22253975232651865,0
ENSG00000141959.16,PFKL,+,19,1,23,44304432,44306681,633,0.20081726892912116,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000141959.16,PFKL,+,18,1,22,44306736,44311007,511,0.3229437387898532,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000277067.4,CU634019.1,+,0,0,3,7048988,7081075,85,0.47200222111815765,0
ENSG00000159131.16,GART,-,2,16,21,33505681,33511270,639,0.8719667116042725,0
ENSG00000159131.16,GART,-,3,15,21,33506030,33517016,71,0.8018771465275412,1
ENSG00000184787.18,UBE2G2,-,2,0,5,44788066,44801738,91,0.26429852340798965,0
ENSG00000241837.6,ATP5PO,-,1,3,7,33904014,33907345,159,0.7987054137244252,0
ENSG00000241837.6,ATP5PO,-,0,2,5,33904014,33912294,125,0.6173419773095624,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
ENSG00000166265.11,CYYR1,-,1,1,5,26480380,26566313,61,0.5207657195502418,0
