gene,chr,start,end,splice_type,novel,neural_crest_cell_ENCFF901XCR_in_cov,neural_crest_cell_ENCFF901XCR_total_cov
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,74,114
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,87,183
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,145,183
ENSG00000182670.13,chr21,37165549,37166598,PAS,True,143,162
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,87,157
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,138,156
ENSG00000142168.14,chr21,31659625,31659841,TSS,True,27,153
ENSG00000280071.3,chr21,5118847,5124755,ES,False,14,122
ENSG00000198862.13,chr21,28947491,28947606,PAS,True,96,113
ENSG00000198862.13,chr21,28966317,28967179,PAS,False,38,112
ENSG00000198862.13,chr21,28959469,28959697,PAS,True,98,113
ENSG00000198862.13,chr21,28992763,28992903,TSS,True,13,123
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,247,378
ENSG00000159131.16,chr21,33508536,33509920,PAS,True,327,376
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,214,371
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,14,111
ENSG00000159140.19,chr21,33542214,33543169,TSS,True,112,133
ENSG00000159140.19,chr21,33576417,33577518,PAS,True,118,133
ENSG00000155304.5,chr21,14383094,14383146,TSS,False,15,122
ENSG00000160310.17,chr21,46635763,46636895,ES,False,141,225
ENSG00000160310.17,chr21,46635617,46635763,TSS,True,26,259
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,94,259
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,187,248
ENSG00000154727.10,chr21,25734943,25735070,TSS,False,97,137
ENSG00000154727.10,chr21,25735075,25735578,TSS,True,54,137
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,73,204
ENSG00000182093.15,chr21,39387762,39387855,TSS,True,150,204
ENSG00000205758.11,chr21,33599248,33602233,3AS,False,165,187
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,69,192
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,145,192
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,47,291
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,81,106
ENSG00000205726.14,chr21,33774728,33774841,PAS,True,68,106
ENSG00000205726.14,chr21,33767712,33767813,PAS,True,82,106
ENSG00000154639.18,chr21,17559131,17565427,ES,False,21,206
ENSG00000115561.15,chr2,86529397,86563303,ES,False,15,140
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,18,147
ENSG00000135930.13,chr2,232568944,232569210,PAS,True,107,139
ENSG00000135930.13,chr2,232580903,232583644,PAS,True,42,139
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,394,1469
ENSG00000138035.14,chr2,55634060,55636392,PAS,True,31,202
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,48,450
ENSG00000115761.15,chr2,10570604,10572190,PAS,True,84,130
ENSG00000115761.15,chr2,10589576,10589751,PAS,True,115,129
ENSG00000115761.15,chr2,10600867,10600942,PAS,True,103,128
ENSG00000115761.15,chr2,10602791,10602874,PAS,True,91,128
ENSG00000196290.14,chr2,200889342,200889391,TSS,True,98,136
ENSG00000196290.14,chr2,200889384,200889652,TSS,True,66,136
ENSG00000196290.14,chr2,200889386,200892379,TSS,True,110,132
ENSG00000115252.18,chr2,182167883,182168290,PAS,True,81,159
ENSG00000115252.18,chr2,182140040,182143038,PAS,False,95,159
ENSG00000204120.14,chr2,232697392,232703423,ES,False,108,172
ENSG00000204120.14,chr2,232697392,232735154,ES,False,21,199
ENSG00000204120.14,chr2,232703489,232735154,ES,False,125,178
ENSG00000204120.14,chr2,232697276,232697392,TSS,True,28,227
ENSG00000204120.14,chr2,232819826,232819979,PAS,False,148,217
ENSG00000204120.14,chr2,232844368,232844574,PAS,False,158,219
ENSG00000204120.14,chr2,232816870,232817033,PAS,False,178,217
ENSG00000163510.13,chr2,179943654,179945715,PAS,True,45,102
ENSG00000163510.13,chr2,180007069,180007353,TSS,False,13,102
ENSG00000144136.10,chr2,112645853,112646129,TSS,False,46,371
ENSG00000013441.15,chr2,200859746,200861237,ES,False,89,158
ENSG00000013441.15,chr2,200859746,200861237,IR,False,89,101
ENSG00000196504.16,chr2,152716126,152717355,5AS,False,311,425
ENSG00000196504.16,chr2,152668169,152669270,PAS,True,392,438
ENSG00000196504.16,chr2,152671932,152672623,PAS,True,175,437
ENSG00000196504.16,chr2,152717355,152718743,TSS,True,156,445
ENSG00000196504.16,chr2,152717229,152717461,TSS,True,331,445
ENSG00000079246.15,chr2,216205187,216206293,PAS,True,191,1231
ENSG00000138385.15,chr2,169805839,169806784,IR,True,90,101
ENSG00000138385.15,chr2,169806970,169807072,PAS,False,83,102
ENSG00000138385.15,chr2,169811667,169812066,PAS,False,91,104
ENSG00000138385.15,chr2,169810857,169811047,PAS,True,68,103
ENSG00000138385.15,chr2,169808481,169808554,PAS,True,85,102
ENSG00000115963.13,chr2,150487267,150487666,TSS,True,66,103
ENSG00000115963.13,chr2,150487548,150487777,TSS,True,59,103
ENSG00000116062.14,chr2,47783100,47783493,TSS,True,63,149
ENSG00000116062.14,chr2,47798611,47801155,TSS,True,89,137
ENSG00000116062.14,chr2,47806778,47807665,PAS,True,18,149
ENSG00000168906.12,chr2,85543034,85543669,IR,True,484,698
ENSG00000168906.12,chr2,85543669,85545280,PAS,False,216,702
ENSG00000168906.12,chr2,85542900,85545280,PAS,True,511,701
ENSG00000065911.11,chr2,74198742,74205704,ES,True,273,327
ENSG00000065911.11,chr2,74198742,74207703,ES,False,44,373
ENSG00000082153.17,chr2,200811559,200811990,TSS,True,293,1744
ENSG00000127837.9,chr2,218269534,218269965,3AS,False,229,257
ENSG00000018699.12,chr2,32820815,32823699,PAS,True,39,143
ENSG00000018699.12,chr2,32758291,32759588,PAS,True,123,143
ENSG00000077232.17,chr2,182715989,182716483,TSS,True,20,115
ENSG00000077232.17,chr2,182777120,182780025,PAS,True,33,107
ENSG00000168385.17,chr2,241315861,241315982,TSS,True,219,1510
ENSG00000135931.17,chr2,231235381,231256585,ES,False,12,108
ENSG00000135931.17,chr2,231198339,231198698,TSS,True,26,111
ENSG00000135931.17,chr2,231198630,231198941,TSS,False,95,111
ENSG00000135931.17,chr2,231344974,231345203,PAS,True,13,111
ENSG00000115677.16,chr2,241227263,241229687,PAS,True,85,312
ENSG00000115677.16,chr2,241247055,241247142,PAS,True,245,277
ENSG00000115677.16,chr2,241272760,241272937,TSS,True,252,316
ENSG00000115677.16,chr2,241315569,241315846,TSS,True,187,316
ENSG00000119760.15,chr2,27661388,27662178,IR,False,88,110
ENSG00000119760.15,chr2,27662281,27663328,5AS,True,98,119
ENSG00000119760.15,chr2,27663328,27663643,TSS,True,38,136
ENSG00000119760.15,chr2,27663323,27663639,TSS,True,115,136
ENSG00000128699.13,chr2,189782421,189784347,TSS,True,103,138
ENSG00000128699.13,chr2,189784268,189784357,TSS,True,57,140
ENSG00000076003.4,chr2,135838970,135840951,PAS,False,272,569
ENSG00000076003.4,chr2,135839625,135844684,PAS,False,324,569
ENSG00000115652.14,chr2,106164784,106166055,3AS,False,137,174
ENSG00000119041.10,chr2,196763030,196764685,PAS,True,19,175
ENSG00000118260.14,chr2,207560372,207567462,ES,False,104,148
ENSG00000115392.11,chr2,58165874,58198593,5AS,False,161,195
ENSG00000170035.15,chr2,180980359,180980973,TSS,True,72,197
ENSG00000170035.15,chr2,180981043,180982236,TSS,True,163,197
ENSG00000114978.17,chr2,74178660,74178899,TSS,True,19,127
ENSG00000055044.10,chr2,202302920,202303059,PAS,True,217,353
ENSG00000055044.10,chr2,202300233,202300370,PAS,True,263,353
ENSG00000055044.10,chr2,202297844,202297906,PAS,False,250,353
ENSG00000138381.9,chr2,189663954,189665421,3AS,False,34,306
ENSG00000169679.14,chr2,110635467,110638159,PAS,True,84,329
ENSG00000144028.14,chr2,96274335,96275155,PAS,True,36,196
ENSG00000144028.14,chr2,96283200,96283354,TSS,True,125,163
ENSG00000144028.14,chr2,96305392,96305574,TSS,False,161,197
ENSG00000144028.14,chr2,96281813,96283232,TSS,True,132,163
ENSG00000115947.13,chr2,147975975,148020632,5AS,False,185,240
ENSG00000115947.13,chr2,148020632,148020769,TSS,True,67,260
ENSG00000115947.13,chr2,148020607,148020759,TSS,True,203,260
ENSG00000095002.14,chr2,47482778,47483228,PAS,True,192,412
ENSG00000095002.14,chr2,47470964,47473754,PAS,True,254,409
ENSG00000171848.14,chr2,10122349,10122897,TSS,True,152,646
ENSG00000171848.14,chr2,10123739,10123852,TSS,True,520,646
ENSG00000163029.15,chr2,17696303,17696426,PAS,True,142,163
