gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF779VVX_in_cov,lower_lobe_of_left_lung_ENCFF779VVX_total_cov
ENSG00000277196.4,chr22_KI270734v1_random,161313,161624,TSS,True,36,196
ENSG00000277196.4,chr22_KI270734v1_random,161468,161600,TSS,True,176,196
ENSG00000182670.13,chr21,37073364,37087246,5AS,False,88,120
ENSG00000182670.13,chr21,37073364,37108391,ES,False,82,170
ENSG00000182670.13,chr21,37073364,37108391,5AS,False,82,123
ENSG00000182670.13,chr21,37072788,37073364,TSS,True,71,243
ENSG00000182670.13,chr21,37073218,37073473,TSS,True,205,243
ENSG00000182670.13,chr21,37151892,37152008,PAS,True,100,228
ENSG00000182670.13,chr21,37148545,37148635,PAS,True,196,227
ENSG00000280071.3,chr21,5128213,5128453,TSS,True,69,683
ENSG00000184012.11,chr21,41508080,41508163,TSS,True,147,390
ENSG00000157551.18,chr21,38257185,38296925,ES,False,67,102
ENSG00000157551.18,chr21,38256904,38257185,TSS,True,94,175
ENSG00000141959.16,chr21,44299728,44300190,TSS,True,312,1333
ENSG00000141959.16,chr21,44309160,44312294,TSS,True,1147,1333
ENSG00000159131.16,chr21,33503182,33504315,PAS,True,126,208
ENSG00000159131.16,chr21,33524004,33525000,PAS,True,105,201
ENSG00000159131.16,chr21,33542064,33543459,TSS,True,39,208
ENSG00000184787.18,chr21,44801705,44801845,TSS,True,46,344
ENSG00000166265.11,chr21,26468631,26480271,3AS,True,72,142
ENSG00000166265.11,chr21,26466209,26468631,PAS,False,73,145
ENSG00000166265.11,chr21,26466209,26468634,PAS,True,74,145
ENSG00000160200.17,chr21,43050595,43053983,PAS,True,58,519
ENSG00000160200.17,chr21,43075769,43075902,TSS,True,101,522
ENSG00000160190.13,chr21,42513684,42513924,TSS,False,50,121
ENSG00000160190.13,chr21,42513500,42514717,TSS,True,91,121
ENSG00000160310.17,chr21,46635763,46636443,3AS,True,54,398
ENSG00000160310.17,chr21,46635763,46636895,ES,False,566,946
ENSG00000160310.17,chr21,46649739,46664294,ES,False,57,560
ENSG00000160310.17,chr21,46664294,46665698,PAS,True,481,1052
ENSG00000160310.17,chr21,46658744,46661269,PAS,True,665,1042
ENSG00000182871.14,chr21,45505831,45505966,TSS,True,86,108
ENSG00000182871.14,chr21,45509421,45509601,TSS,True,83,108
ENSG00000182871.14,chr21,45511177,45511226,TSS,True,94,108
ENSG00000142166.12,chr21,33355315,33360901,PAS,False,55,178
ENSG00000142166.12,chr21,33349388,33349919,PAS,True,132,178
ENSG00000173638.18,chr21,45515152,45525816,3AS,False,18,152
ENSG00000173638.18,chr21,45512550,45516140,PAS,True,24,156
ENSG00000173638.18,chr21,45512549,45515152,PAS,True,160,178
ENSG00000173638.18,chr21,45542367,45542451,TSS,False,145,178
ENSG00000173638.18,chr21,45531388,45532150,TSS,False,130,178
ENSG00000173638.18,chr21,45562741,45563152,TSS,True,141,178
ENSG00000157601.13,chr21,41426263,41427754,ES,False,42,144
ENSG00000157601.13,chr21,41426040,41426263,TSS,True,43,187
ENSG00000157601.13,chr21,41458527,41459214,PAS,True,23,187
ENSG00000160213.7,chr21,43776203,43776619,TSS,True,16,130
ENSG00000166979.12,chr21,32413013,32457596,ES,False,20,155
ENSG00000166979.12,chr21,32413013,32467695,ES,False,53,222
ENSG00000166979.12,chr21,32501486,32503925,5AS,False,32,242
ENSG00000166979.12,chr21,32501495,32503925,5AS,False,188,210
ENSG00000166979.12,chr21,32411691,32413013,TSS,True,29,252
ENSG00000159128.14,chr21,33403372,33403616,TSS,True,25,215
ENSG00000154734.14,chr21,26844224,26845409,TSS,False,283,909
ENSG00000154734.14,chr21,26842338,26845410,TSS,True,676,898
ENSG00000182093.15,chr21,39380256,39380486,TSS,True,26,231
ENSG00000205758.11,chr21,33589340,33589921,PAS,True,58,194
ENSG00000205758.11,chr21,33594172,33595614,PAS,True,161,193
ENSG00000205758.11,chr21,33641680,33642193,TSS,True,23,194
ENSG00000157557.11,chr21,38805470,38806120,TSS,True,83,184
ENSG00000157557.11,chr21,38822673,38824955,PAS,False,29,172
ENSG00000160299.16,chr21,46324057,46324282,TSS,True,34,145
ENSG00000160299.16,chr21,46324635,46325210,TSS,False,126,145
ENSG00000160299.16,chr21,46353986,46354023,PAS,True,115,136
ENSG00000160299.16,chr21,46353103,46353328,PAS,True,98,136
ENSG00000160299.16,chr21,46349683,46350212,PAS,False,89,135
ENSG00000160299.16,chr21,46356973,46357133,PAS,True,115,136
ENSG00000183255.11,chr21,44873501,44873735,TSS,True,187,1475
ENSG00000205726.14,chr21,33642410,33642713,TSS,True,18,134
ENSG00000205726.14,chr21,33794340,33794462,PAS,True,25,129
ENSG00000274276.4,chr21,6441177,6445661,PAS,True,55,502
ENSG00000274276.4,chr21,6467447,6467571,TSS,True,83,502
ENSG00000142173.14,chr21,46120511,46120577,TSS,False,138,197
ENSG00000142173.14,chr21,46125795,46126237,TSS,True,166,197
ENSG00000142173.14,chr21,46131953,46132850,PAS,False,98,207
ENSG00000142173.14,chr21,46129195,46132849,PAS,True,121,154
ENSG00000159110.19,chr21,33230216,33241885,3AS,False,77,115
ENSG00000159110.19,chr21,33262560,33264526,PAS,True,27,123
ENSG00000159110.19,chr21,33262792,33265664,PAS,True,105,123
ENSG00000160255.17,chr21,44894970,44895028,TSS,True,616,740
ENSG00000160255.17,chr21,44920820,44920972,TSS,True,253,742
ENSG00000275464.4,chr21,5129335,5131455,PAS,False,42,158
ENSG00000275464.4,chr21,5134199,5137474,PAS,True,131,156
ENSG00000160285.14,chr21,46188445,46191235,PAS,True,19,183
ENSG00000160285.14,chr21,46228731,46228827,TSS,True,173,204
ENSG00000160285.14,chr21,46213737,46213836,TSS,True,164,202
ENSG00000160285.14,chr21,46209553,46210311,TSS,True,133,194
ENSG00000154639.18,chr21,17565427,17570098,PAS,True,34,179
ENSG00000154639.18,chr21,17593151,17594991,PAS,False,153,186
ENSG00000135930.13,chr2,232550637,232550744,TSS,True,22,107
ENSG00000035115.21,chr2,219001,229965,ES,False,217,474
ENSG00000035115.21,chr2,263983,264695,TSS,True,146,488
ENSG00000115053.15,chr2,231452352,231455267,PAS,True,252,1474
ENSG00000187514.16,chr2,231708523,231708751,TSS,True,93,819
ENSG00000019169.10,chr2,118994386,118994664,PAS,True,102,645
ENSG00000115649.15,chr2,219176759,219176999,TSS,True,119,597
ENSG00000115649.15,chr2,219178120,219178641,TSS,True,534,597
ENSG00000138413.13,chr2,208253959,208254030,IR,False,61,111
ENSG00000138413.13,chr2,208254938,208255143,TSS,True,166,1049
